127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000531
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000809
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003070
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000547
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/jquery.js, HTTP/1.1, 304, 0.000569
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/css/calendar.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/calendar.js, HTTP/1.1, 304, 0.000542
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/web2py.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000535
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000543
127.0.0.1, 2015-09-03 13:23:34, GET, /jupe_app/static/js/share.js, HTTP/1.1, 304, 0.001066
127.0.0.1, 2015-09-03 13:23:35, GET, /jupe_app/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000351
127.0.0.1, 2015-09-03 13:23:35, GET, /jupe_app/static/images/twitter.png, HTTP/1.1, 304, 0.000550
127.0.0.1, 2015-09-03 13:23:35, GET, /jupe_app/static/images/facebook.png, HTTP/1.1, 304, 0.000696
127.0.0.1, 2015-09-03 13:23:35, GET, /jupe_app/static/images/gplus-32.png, HTTP/1.1, 304, 0.000512
127.0.0.1, 2015-09-03 13:23:35, GET, /jupe_app/static/images/favicon.ico, HTTP/1.1, 200, 0.000618
127.0.0.1, 2015-09-03 13:23:41, GET, /admin/default/site, HTTP/1.1, 200, 0.065563
127.0.0.1, 2015-09-03 13:23:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2015-09-03 13:23:47, GET, /admin/default/remove_compiled_app/jupe_app, HTTP/1.1, 303, 0.057592
127.0.0.1, 2015-09-03 13:23:47, GET, /admin/default/site, HTTP/1.1, 200, 0.061189
127.0.0.1, 2015-09-03 13:23:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2015-09-03 13:23:50, GET, /admin/default/compile_app/jupe_app, HTTP/1.1, 303, 0.267297
127.0.0.1, 2015-09-03 13:23:50, GET, /admin/default/site, HTTP/1.1, 200, 0.066446
127.0.0.1, 2015-09-03 13:23:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000481
127.0.0.1, 2015-09-03 13:23:52, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.045816
127.0.0.1, 2015-09-03 13:23:54, GET, /jupe_app/default/index/_create/index, HTTP/1.1, 303, 0.026856
127.0.0.1, 2015-09-03 13:23:54, GET, /jupe_app/default/user/login, HTTP/1.1, 200, 0.023018
127.0.0.1, 2015-09-03 13:23:57, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.027059
127.0.0.1, 2015-09-03 13:44:47, GET, /jupe_app/static/example.html, HTTP/1.1, 200, 0.002855
127.0.0.1, 2015-09-03 13:44:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000580
127.0.0.1, 2015-09-03 13:53:20, GET, /, HTTP/1.1, 303, 0.004151
127.0.0.1, 2015-09-03 13:53:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.070479
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000814
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000820
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002685
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000620
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000558
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000523
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002195
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001339
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005339
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.005408
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000648
127.0.0.1, 2015-09-03 13:53:21, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000559
127.0.0.1, 2015-09-03 13:53:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000599
127.0.0.1, 2015-09-03 13:53:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000901
127.0.0.1, 2015-09-03 13:53:22, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000630
127.0.0.1, 2015-09-03 13:53:24, GET, /admin/default/site, HTTP/1.1, 200, 0.086946
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/default/index, HTTP/1.1, 200, 0.042450
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000919
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000653
127.0.0.1, 2015-09-03 13:53:26, GET, /jupe_app/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001001
